"Regione","Provincia","Ente","Codice 
Ministero 
Interno","Codice BDAP","CUP","Target (mq 
rigenerati)","Finanziamento parziale","Costo 
complessivo","Quota co-
finanziata","Richiesta 
contributo","Di cui 
progettazione","Tipologia 
intervento 
(lettera)","Data Trasmissione 
Domanda","Ammesso/Non 
ammesso","Motivazione","IVSM (2018)"
"Campania","Napoli","Sant'Antimo","4150510730","912242930548239401","B33D21003020001","19.000","No","2.700.000,00","-","2.700.000,00","61.045,66","A","08/06/2021","Sì, con riserva","Chiarimenti target a pena 
esclusione entro 10 gg da 
pubblicazione","119,6400465"
"Campania","Napoli","Sant'Antimo","4150510730","912242930548239401","B33D21002990001","15.000","No","800.000,00","-","800.000,00","22.000,00","A","08/06/2021","Sì","-","119,6400465"
"Campania","Napoli","Sant'Antimo","4150510730","912242930548239401","B33D21003070001","10.000","No","500.000,00","-","500.000,00","17.000,00","A","08/06/2021","Sì","-","119,6400465"
"Campania","Napoli","Sant'Antimo","4150510730","912242930548239401","B33D21003050001","5.000","No","1.000.000,00","-","1.000.000,00","27.264,70","A","08/06/2021","Sì","-","119,6400465"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21002000001","15.000","No","2.500.000,00","-","2.500.000,00","341.000,00","B","04/06/2021","Sì","-","119,2146977"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21001990001","3.100","No","1.200.000,00","-","1.200.000,00","199.000,00","B","04/06/2021","Sì","-","119,2146977"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21001970001","4.500","No","2.800.000,00","-","2.800.000,00","450.000,00","B","04/06/2021","Sì","-","119,2146977"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21002010001","1.200","No","500.000,00","-","500.000,00","105.000,00","B","04/06/2021","Sì","-","119,2146977"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21001980001","5.800","No","1.250.000,00","-","1.250.000,00","208.000,00","B","04/06/2021","Sì","-","119,2146977"
"Campania","Napoli","Caivano","4150510110","264942930461356002","J47H21001730001","4.930","No","476.794,70","-","476.794,70","65.800,97","A","28/05/2021","Sì","-","115,8013587"
"Campania","Napoli","Caivano","4150510110","264942930461356002","J43D21003060001","20.000","No","1.669.200,00","-","1.669.200,00","187.680,00","A","28/05/2021","Sì","-","115,8013587"
"Campania","Napoli","Caivano","4150510110","264942930461356002","J41B21004540001","8.000","No","342.170,32","-","342.170,32","39.175,78","C","28/05/2021","Sì","-","115,8013587"
"Campania","Napoli","Caivano","4150510110","264942930461356002","J47H21001740001","1.700","No","55.129,71","-","55.129,71","-","B","28/05/2021","Sì, con riserva","Chiarimenti target a pena 
esclusione entro 10 gg da 
pubblicazione","115,8013587"
"Campania","Napoli","Caivano","4150510110","264942930461356002","J43D21003070001","4.200","No","1.530.000,00","-","1.530.000,00","144.978,85","A","28/05/2021","Sì, con riserva","Chiarimenti target a pena 
esclusione entro 10 gg da 
pubblicazione","115,8013587"
"Campania","Napoli","Caivano","4150510110","264942930461356002","J43D21003100001","1.890","No","241.352,02","-","241.352,02","9.800,00","A","28/05/2021","Sì","-","115,8013587"
"Campania","Napoli","Caivano","4150510110","264942930461356002","J45F21000320001","130","No","685.000,00","-","685.000,00","70.100,80","B","28/05/2021","Sì","-","115,8013587"
"Campania","Napoli","Melito di Napoli","4150510450","425342930473661602","G29J21003600001","14.400","No","742.627,00","-","742.627,00","130.000,00","B","04/06/2021","Sì","-","115,5740544"
